respID,qID,altID,obsID,profileID,price,distance,DistancetoMetro,Squarefootage,CommunityWasherDryer,FitnessRoom,Parking,Washer_dryer_in_room,sewageandtrash,WaterPower,Allincluded
3,2,1,18,8201,2000,Less than 1 Mile,15/5,500,1,0,1,0,0,1,1
3,2,2,18,2224,1500,Less than 1 Mile,10/2.5,600,1,1,0,1,1,0,0
3,2,3,18,762,2500,About 3 miles,Less than 5,600,1,0,0,1,0,0,0
3,3,1,19,7724,2000,Less than 1 Mile,Less than 5,600,1,1,1,1,1,0,1
3,3,2,19,2350,1500,Less than 1 Mile,Less than 5,500,1,0,1,1,1,0,0
3,3,3,19,3127,1500,About 3 miles,15/5,600,0,1,1,0,0,1,0
3,4,1,20,3609,2500,More than 5 mils,10/2.5,600,0,0,1,1,0,1,0
3,4,2,20,5955,2500,About 3 miles,10/2.5,600,1,0,0,1,0,0,1
3,4,3,20,5467,1500,About 3 miles,10/2.5,600,1,1,0,0,0,0,1
3,5,1,21,9734,2000,About 3 miles,10/2.5,500,0,0,0,1,1,1,1
3,5,2,21,1813,1500,About 3 miles,Less than 5,600,0,1,1,0,1,0,0
3,5,3,21,865,1500,Less than 1 Mile,Less than 5,More than 750,0,1,0,1,0,0,0
3,6,1,22,612,2500,More than 5 mils,10/2.5,600,1,1,1,0,0,0,0
3,6,2,22,3660,2500,About 3 miles,10/2.5,500,1,0,1,1,0,1,0
3,6,3,22,2844,2500,More than 5 mils,Less than 5,500,1,1,0,0,0,1,0
3,7,1,23,777,2500,Less than 1 Mile,15/5,600,1,0,0,1,0,0,0
3,7,2,23,5864,2000,About 3 miles,Less than 5,600,0,0,0,1,0,0,1
3,7,3,23,3147,2500,About 3 miles,10/2.5,More than 750,0,1,1,0,0,1,0
3,8,1,24,5370,2500,About 3 miles,15/5,500,0,1,0,0,0,0,1
3,8,2,24,2611,1500,Less than 1 Mile,15/5,500,0,0,0,0,0,1,0
3,8,3,24,756,2500,More than 5 mils,15/5,500,1,0,0,1,0,0,0
4,1,1,25,1364,2000,About 3 miles,10/2.5,More than 750,0,0,0,0,1,0,0
4,1,2,25,7604,2000,More than 5 mils,10/2.5,More than 750,1,0,1,1,1,0,1
4,1,3,25,6262,1500,More than 5 mils,15/5,500,1,0,1,1,0,0,1
4,2,1,26,10251,2500,More than 5 mils,10/2.5,600,0,1,1,1,1,1,1
4,2,2,26,5180,2000,About 3 miles,15/5,More than 750,1,1,1,1,1,1,0
4,2,3,26,9078,2500,About 3 miles,Less than 5,500,0,0,0,0,1,1,1
4,3,1,27,7861,1500,About 3 miles,Less than 5,500,1,0,0,0,0,1,1
4,3,2,27,647,2000,More than 5 mils,15/5,More than 750,1,1,1,0,0,0,0
4,3,3,27,6320,2000,Less than 1 Mile,Less than 5,500,0,1,1,1,0,0,1
4,4,1,28,9493,1500,More than 5 mils,10/2.5,500,1,0,1,0,1,1,1
4,4,2,28,3065,2000,About 3 miles,10/2.5,More than 750,1,0,1,0,0,1,0
4,4,3,28,5079,2500,Less than 1 Mile,Less than 5,More than 750,0,1,1,1,1,1,0
4,5,1,29,850,1500,About 3 miles,10/2.5,600,0,1,0,1,0,0,0
4,5,2,29,8759,2000,Less than 1 Mile,10/2.5,500,0,0,1,1,0,1,1
4,5,3,29,2201,2000,About 3 miles,10/2.5,500,1,1,0,1,1,0,0
4,6,1,30,4492,1500,Less than 1 Mile,10/2.5,600,1,1,1,0,1,1,0
4,6,2,30,9711,2500,More than 5 mils,10/2.5,More than 750,1,1,1,0,1,1,1
4,6,3,30,1145,2000,Less than 1 Mile,10/2.5,500,0,1,1,1,0,0,0
4,7,1,31,8523,2500,More than 5 mils,10/2.5,500,1,0,0,1,0,1,1
4,7,2,31,5360,2000,About 3 miles,10/2.5,500,0,1,0,0,0,0,1
4,7,3,31,132,2500,About 3 miles,15/5,600,1,0,0,0,0,0,0
4,8,1,32,7262,2000,More than 5 mils,15/5,600,1,0,0,1,1,0,1
4,8,2,32,2810,2000,Less than 1 Mile,Less than 5,More than 750,0,1,0,0,0,1,0
4,8,3,32,7883,2000,More than 5 mils,15/5,500,1,0,0,0,0,1,1
5,1,1,33,4094,2000,More than 5 mils,10/2.5,600,0,1,0,0,1,1,0
5,1,2,33,5427,2500,More than 5 mils,15/5,More than 750,0,1,0,0,0,0,1
5,1,3,33,7534,1500,Less than 1 Mile,Less than 5,500,1,0,1,1,1,0,1
5,2,1,34,4164,2500,About 3 miles,Less than 5,600,1,1,0,0,1,1,0
5,2,2,34,8138,2000,Less than 1 Mile,10/2.5,600,0,0,1,0,0,1,1
5,2,3,34,1304,2000,More than 5 mils,Less than 5,500,0,0,0,0,1,0,0
5,3,1,35,2184,2500,About 3 miles,15/5,More than 750,0,1,0,1,1,0,0
5,3,2,35,787,1500,About 3 miles,Less than 5,More than 750,1,0,0,1,0,0,0
5,3,3,35,9243,2500,More than 5 mils,Less than 5,500,0,1,0,0,1,1,1
5,4,1,36,8800,1500,More than 5 mils,15/5,600,0,0,1,1,0,1,1
5,4,2,36,3081,2500,Less than 1 Mile,Less than 5,500,0,1,1,0,0,1,0
5,4,3,36,615,2500,Less than 1 Mile,15/5,600,1,1,1,0,0,0,0
5,5,1,37,9749,2000,Less than 1 Mile,Less than 5,600,0,0,0,1,1,1,1
5,5,2,37,4466,2000,Less than 1 Mile,10/2.5,500,1,1,1,0,1,1,0
5,5,3,37,2726,2000,More than 5 mils,15/5,600,1,0,0,0,0,1,0
5,6,1,38,2263,1500,About 3 miles,15/5,More than 750,1,1,0,1,1,0,0
5,6,2,38,5114,2000,Less than 1 Mile,10/2.5,500,1,1,1,1,1,1,0
5,6,3,38,926,2000,More than 5 mils,Less than 5,600,1,1,0,1,0,0,0
5,7,1,39,2937,2500,Less than 1 Mile,15/5,500,0,0,1,0,0,1,0
5,7,2,39,3303,2500,More than 5 mils,Less than 5,More than 750,0,0,0,1,0,1,0
5,7,3,39,6467,2000,About 3 miles,10/2.5,More than 750,1,1,1,1,0,0,1
5,8,1,40,1394,2000,More than 5 mils,10/2.5,500,1,0,0,0,1,0,0
5,8,2,40,7208,2000,More than 5 mils,15/5,More than 750,0,0,0,1,1,0,1
5,8,3,40,2553,2500,About 3 miles,10/2.5,600,1,1,1,1,1,0,0
6,1,1,41,1887,2500,About 3 miles,15/5,500,1,1,1,0,1,0,0
6,1,2,41,2282,2000,About 3 miles,10/2.5,500,0,0,1,1,1,0,0
6,1,3,41,10234,1500,Less than 1 Mile,Less than 5,600,0,1,1,1,1,1,1
6,2,1,42,9757,1500,Less than 1 Mile,10/2.5,600,0,0,0,1,1,1,1
6,2,2,42,9271,1500,Less than 1 Mile,10/2.5,600,0,1,0,0,1,1,1
6,2,3,42,3051,2500,More than 5 mils,15/5,600,1,0,1,0,0,1,0
6,3,1,43,7239,2500,Less than 1 Mile,Less than 5,600,1,0,0,1,1,0,1
6,3,2,43,7957,1500,Less than 1 Mile,15/5,500,0,1,0,0,0,1,1
6,3,3,43,5199,2500,About 3 miles,10/2.5,500,0,0,0,0,0,0,1
6,4,1,44,8338,1500,About 3 miles,15/5,More than 750,0,1,1,0,0,1,1
6,4,2,44,7723,1500,Less than 1 Mile,Less than 5,600,1,1,1,1,1,0,1
6,4,3,44,2231,2000,More than 5 mils,10/2.5,600,1,1,0,1,1,0,0
6,5,1,45,2229,2500,About 3 miles,10/2.5,600,1,1,0,1,1,0,0
6,5,2,45,5234,2000,About 3 miles,15/5,600,0,0,0,0,0,0,1
6,5,3,45,8149,1500,About 3 miles,15/5,600,0,0,1,0,0,1,1
6,6,1,46,5219,2000,More than 5 mils,Less than 5,600,0,0,0,0,0,0,1
6,6,2,46,9534,2500,Less than 1 Mile,Less than 5,More than 750,1,0,1,0,1,1,1
6,6,3,46,9744,2500,About 3 miles,15/5,500,0,0,0,1,1,1,1
6,7,1,47,9478,1500,Less than 1 Mile,Less than 5,500,1,0,1,0,1,1,1
6,7,2,47,4727,2000,Less than 1 Mile,Less than 5,600,0,1,0,1,1,1,0
6,7,3,47,8174,2000,Less than 1 Mile,15/5,More than 750,0,0,1,0,0,1,1
6,8,1,48,8241,2500,About 3 miles,Less than 5,More than 750,1,0,1,0,0,1,1
6,8,2,48,4679,2000,More than 5 mils,Less than 5,More than 750,1,0,0,1,1,1,0
6,8,3,48,4078,1500,Less than 1 Mile,Less than 5,600,0,1,0,0,1,1,0
7,1,1,49,1442,2000,Less than 1 Mile,10/2.5,More than 750,1,0,0,0,1,0,0
7,1,2,49,6440,2000,About 3 miles,10/2.5,600,1,1,1,1,0,0,1
7,1,3,49,8497,1500,Less than 1 Mile,15/5,More than 750,0,0,0,1,0,1,1
7,2,1,50,5859,2500,More than 5 mils,15/5,500,0,0,0,1,0,0,1
7,2,2,50,8825,2000,About 3 miles,15/5,More than 750,0,0,1,1,0,1,1
7,2,3,50,601,1500,More than 5 mils,Less than 5,600,1,1,1,0,0,0,0
7,3,1,51,5707,1500,Less than 1 Mile,10/2.5,600,0,1,1,0,0,0,1
7,3,2,51,9631,1500,Less than 1 Mile,15/5,More than 750,0,1,1,0,1,1,1
7,3,3,51,5972,2000,About 3 miles,Less than 5,More than 750,1,0,0,1,0,0,1
7,4,1,52,5469,2500,About 3 miles,10/2.5,600,1,1,0,0,0,0,1
7,4,2,52,2627,2000,More than 5 mils,Less than 5,600,0,0,0,0,0,1,0
7,4,3,52,333,2500,More than 5 mils,Less than 5,500,0,0,1,0,0,0,0
7,5,1,53,8774,2000,More than 5 mils,15/5,500,0,0,1,1,0,1,1
7,5,2,53,7379,2000,More than 5 mils,Less than 5,500,1,1,0,1,1,0,1
7,5,3,53,5451,2500,About 3 miles,15/5,500,1,1,0,0,0,0,1
7,6,1,54,4905,2500,More than 5 mils,10/2.5,600,0,0,1,1,1,1,0
7,6,2,54,5748,2500,About 3 miles,15/5,More than 750,0,1,1,0,0,0,1
7,6,3,54,6688,1500,Less than 1 Mile,15/5,600,0,1,0,0,1,0,1
7,7,1,55,1342,1500,Less than 1 Mile,15/5,600,0,0,0,0,1,0,0
7,7,2,55,4675,1500,About 3 miles,Less than 5,More than 750,1,0,0,1,1,1,0
7,7,3,55,9401,2000,About 3 miles,Less than 5,500,0,0,1,0,1,1,1
7,8,1,56,6671,2000,Less than 1 Mile,Less than 5,600,0,1,0,0,1,0,1
7,8,2,56,6042,2500,Less than 1 Mile,15/5,600,0,1,0,1,0,0,1
7,8,3,56,7129,1500,Less than 1 Mile,Less than 5,500,0,0,0,1,1,0,1
8,1,1,57,1351,1500,Less than 1 Mile,Less than 5,More than 750,0,0,0,0,1,0,0
8,1,2,57,4700,2000,Less than 1 Mile,Less than 5,500,0,1,0,1,1,1,0
8,1,3,57,2193,2500,About 3 miles,Less than 5,500,1,1,0,1,1,0,0
8,2,1,58,1061,2000,More than 5 mils,Less than 5,500,1,0,1,1,0,0,0
8,2,2,58,5424,2500,About 3 miles,15/5,More than 750,0,1,0,0,0,0,1
8,2,3,58,667,1500,Less than 1 Mile,15/5,500,0,0,0,1,0,0,0
8,3,1,59,8753,2000,About 3 miles,Less than 5,500,0,0,1,1,0,1,1
8,3,2,59,3870,2500,More than 5 mils,Less than 5,More than 750,1,1,1,1,0,1,0
8,3,3,59,1048,1500,About 3 miles,15/5,More than 750,0,0,1,1,0,0,0
8,4,1,60,10170,2500,More than 5 mils,10/2.5,600,1,0,1,1,1,1,1
8,4,2,60,3818,2000,Less than 1 Mile,10/2.5,500,1,1,1,1,0,1,0
8,4,3,60,1967,2000,About 3 miles,15/5,500,0,0,0,1,1,0,0
8,5,1,61,9715,1500,About 3 miles,15/5,More than 750,1,1,1,0,1,1,1
8,5,2,61,3416,2000,About 3 miles,10/2.5,500,0,1,0,1,0,1,0
8,5,3,61,9447,2500,About 3 miles,15/5,600,0,0,1,0,1,1,1
8,6,1,62,6500,2000,Less than 1 Mile,15/5,500,0,0,0,0,1,0,1
8,6,2,62,2816,2000,More than 5 mils,Less than 5,More than 750,0,1,0,0,0,1,0
8,6,3,62,339,2500,About 3 miles,10/2.5,500,0,0,1,0,0,0,0
8,7,1,63,10295,2000,More than 5 mils,Less than 5,500,1,1,1,1,1,1,1
8,7,2,63,6741,2500,More than 5 mils,10/2.5,500,1,1,0,0,1,0,1
8,7,3,63,9665,2000,More than 5 mils,15/5,500,1,1,1,0,1,1,1
8,8,1,64,313,1500,More than 5 mils,10/2.5,More than 750,1,1,0,0,0,0,0
8,8,2,64,9588,2500,Less than 1 Mile,Less than 5,600,0,1,1,0,1,1,1
8,8,3,64,5607,2500,More than 5 mils,10/2.5,500,1,0,1,0,0,0,1
9,1,1,65,9928,1500,Less than 1 Mile,15/5,600,0,1,0,1,1,1,1
9,1,2,65,9661,1500,About 3 miles,15/5,500,1,1,1,0,1,1,1
9,1,3,65,8112,2500,Less than 1 Mile,10/2.5,500,0,0,1,0,0,1,1
9,2,1,66,534,2500,Less than 1 Mile,15/5,600,0,1,1,0,0,0,0
9,2,2,66,7581,2500,Less than 1 Mile,15/5,600,1,0,1,1,1,0,1
9,2,3,66,3077,2000,More than 5 mils,15/5,More than 750,1,0,1,0,0,1,0
9,3,1,67,6529,1500,About 3 miles,15/5,600,0,0,0,0,1,0,1
9,3,2,67,1780,1500,More than 5 mils,15/5,More than 750,1,0,1,0,1,0,0
9,3,3,67,3320,2000,More than 5 mils,15/5,More than 750,0,0,0,1,0,1,0
9,4,1,68,2775,2500,Less than 1 Mile,15/5,500,0,1,0,0,0,1,0
9,4,2,68,9401,2000,About 3 miles,Less than 5,500,0,0,1,0,1,1,1
9,4,3,68,6249,2500,Less than 1 Mile,10/2.5,500,1,0,1,1,0,0,1
9,5,1,69,7695,2500,More than 5 mils,15/5,More than 750,0,1,1,1,1,0,1
9,5,2,69,10245,2500,Less than 1 Mile,10/2.5,600,0,1,1,1,1,1,1
9,5,3,69,7596,2500,More than 5 mils,Less than 5,More than 750,1,0,1,1,1,0,1
9,6,1,70,3696,2500,About 3 miles,15/5,600,1,0,1,1,0,1,0
9,6,2,70,5960,2000,Less than 1 Mile,15/5,600,1,0,0,1,0,0,1
9,6,3,70,9592,1500,More than 5 mils,Less than 5,600,0,1,1,0,1,1,1
9,7,1,71,7880,2000,About 3 miles,15/5,500,1,0,0,0,0,1,1
9,7,2,71,7138,1500,Less than 1 Mile,10/2.5,500,0,0,0,1,1,0,1
9,7,3,71,688,1500,About 3 miles,10/2.5,600,0,0,0,1,0,0,0
9,8,1,72,6409,1500,Less than 1 Mile,10/2.5,500,1,1,1,1,0,0,1
9,8,2,72,10129,1500,About 3 miles,Less than 5,500,1,0,1,1,1,1,1
9,8,3,72,6795,2500,More than 5 mils,10/2.5,More than 750,1,1,0,0,1,0,1
10,1,1,73,1962,2500,More than 5 mils,10/2.5,500,0,0,0,1,1,0,0
10,1,2,73,10204,1500,More than 5 mils,15/5,More than 750,1,0,1,1,1,1,1
10,1,3,73,10075,1500,About 3 miles,Less than 5,600,0,0,1,1,1,1,1
10,2,1,74,6974,2000,More than 5 mils,Less than 5,500,0,1,1,0,1,0,1
10,2,2,74,7098,2500,About 3 miles,15/5,600,1,1,1,0,1,0,1
10,2,3,74,1160,2000,More than 5 mils,15/5,500,0,1,1,1,0,0,0
10,3,1,75,3159,2500,More than 5 mils,15/5,More than 750,0,1,1,0,0,1,0
10,3,2,75,4658,2000,About 3 miles,10/2.5,600,1,0,0,1,1,1,0
10,3,3,75,800,2000,More than 5 mils,10/2.5,More than 750,1,0,0,1,0,0,0
10,4,1,76,9446,2000,About 3 miles,15/5,600,0,0,1,0,1,1,1
10,4,2,76,2788,1500,More than 5 mils,Less than 5,600,0,1,0,0,0,1,0
10,4,3,76,3592,1500,Less than 1 Mile,Less than 5,600,0,0,1,1,0,1,0
10,5,1,77,1649,2000,Less than 1 Mile,Less than 5,600,0,0,1,0,1,0,0
10,5,2,77,10080,2500,More than 5 mils,Less than 5,600,0,0,1,1,1,1,1
10,5,3,77,8626,1500,About 3 miles,10/2.5,600,0,1,0,1,0,1,1
10,6,1,78,4396,1500,About 3 miles,15/5,500,0,1,1,0,1,1,0
10,6,2,78,2548,1500,Less than 1 Mile,10/2.5,600,1,1,1,1,1,0,0
10,6,3,78,4950,2500,More than 5 mils,Less than 5,500,1,0,1,1,1,1,0
10,7,1,79,3172,1500,About 3 miles,10/2.5,500,1,1,1,0,0,1,0
10,7,2,79,8791,1500,More than 5 mils,10/2.5,600,0,0,1,1,0,1,1
10,7,3,79,4006,1500,Less than 1 Mile,10/2.5,600,1,0,0,0,1,1,0
10,8,1,80,4055,2000,About 3 miles,Less than 5,500,0,1,0,0,1,1,0
10,8,2,80,3855,2500,Less than 1 Mile,15/5,600,1,1,1,1,0,1,0
10,8,3,80,1478,2000,Less than 1 Mile,15/5,500,0,1,0,0,1,0,0
11,1,1,81,7097,2000,About 3 miles,15/5,600,1,1,1,0,1,0,1
11,1,2,81,4438,1500,Less than 1 Mile,10/2.5,More than 750,0,1,1,0,1,1,0
11,1,3,81,2864,2000,Less than 1 Mile,Less than 5,600,1,1,0,0,0,1,0
11,2,1,82,8385,2500,About 3 miles,10/2.5,600,1,1,1,0,0,1,1
11,2,2,82,1527,2500,About 3 miles,10/2.5,More than 750,0,1,0,0,1,0,0
11,2,3,82,9621,2500,More than 5 mils,Less than 5,More than 750,0,1,1,0,1,1,1
11,3,1,83,7366,1500,About 3 miles,15/5,More than 750,0,1,0,1,1,0,1
11,3,2,83,3699,2500,More than 5 mils,15/5,600,1,0,1,1,0,1,0
11,3,3,83,2861,2000,More than 5 mils,15/5,500,1,1,0,0,0,1,0
11,4,1,84,8405,2000,More than 5 mils,Less than 5,More than 750,1,1,1,0,0,1,1
11,4,2,84,3481,1500,More than 5 mils,15/5,More than 750,0,1,0,1,0,1,0
11,4,3,84,6709,1500,About 3 miles,10/2.5,More than 750,0,1,0,0,1,0,1
11,5,1,85,7095,2500,Less than 1 Mile,15/5,600,1,1,1,0,1,0,1
11,5,2,85,3120,2500,About 3 miles,10/2.5,600,0,1,1,0,0,1,0
11,5,3,85,2104,1500,More than 5 mils,15/5,More than 750,1,0,0,1,1,0,0
11,6,1,86,4987,1500,Less than 1 Mile,15/5,600,1,0,1,1,1,1,0
11,6,2,86,5719,1500,About 3 miles,15/5,600,0,1,1,0,0,0,1
11,6,3,86,3953,2000,Less than 1 Mile,10/2.5,More than 750,0,0,0,0,1,1,0
11,7,1,87,10063,1500,Less than 1 Mile,15/5,500,0,0,1,1,1,1,1
11,7,2,87,6912,2500,More than 5 mils,15/5,500,1,0,1,0,1,0,1
11,7,3,87,3760,1500,More than 5 mils,Less than 5,600,0,1,1,1,0,1,0
11,8,1,88,8298,2500,More than 5 mils,Less than 5,600,0,1,1,0,0,1,1
11,8,2,88,1403,2000,More than 5 mils,15/5,500,1,0,0,0,1,0,0
11,8,3,88,4073,2000,About 3 miles,15/5,500,0,1,0,0,1,1,0
12,1,1,89,9379,1500,Less than 1 Mile,10/2.5,More than 750,1,1,0,0,1,1,1
12,1,2,89,7520,2000,About 3 miles,10/2.5,More than 750,0,0,1,1,1,0,1
12,1,3,89,3640,1500,About 3 miles,15/5,More than 750,0,0,1,1,0,1,0
12,2,1,90,8094,2500,Less than 1 Mile,15/5,More than 750,1,1,0,0,0,1,1
12,2,2,90,6922,1500,Less than 1 Mile,10/2.5,600,1,0,1,0,1,0,1
12,2,3,90,1294,1500,More than 5 mils,15/5,More than 750,1,1,1,1,0,0,0
12,3,1,91,2100,2500,Less than 1 Mile,15/5,More than 750,1,0,0,1,1,0,0
12,3,2,91,5535,2500,More than 5 mils,15/5,500,0,0,1,0,0,0,1
12,3,3,91,5002,1500,More than 5 mils,Less than 5,More than 750,1,0,1,1,1,1,0
12,4,1,92,9442,1500,Less than 1 Mile,15/5,600,0,0,1,0,1,1,1
12,4,2,92,9822,2500,Less than 1 Mile,15/5,500,1,0,0,1,1,1,1
12,4,3,92,6495,2500,About 3 miles,10/2.5,500,0,0,0,0,1,0,1
12,5,1,93,6240,2500,Less than 1 Mile,Less than 5,500,1,0,1,1,0,0,1
12,5,2,93,8411,2000,About 3 miles,10/2.5,More than 750,1,1,1,0,0,1,1
12,5,3,93,3649,1500,About 3 miles,Less than 5,500,1,0,1,1,0,1,0
12,6,1,94,6688,1500,Less than 1 Mile,15/5,600,0,1,0,0,1,0,1
12,6,2,94,3212,2000,More than 5 mils,15/5,600,1,1,1,0,0,1,0
12,6,3,94,3136,1500,About 3 miles,Less than 5,More than 750,0,1,1,0,0,1,0
12,7,1,95,2120,2000,About 3 miles,10/2.5,500,0,1,0,1,1,0,0
12,7,2,95,5045,2000,About 3 miles,15/5,500,0,1,1,1,1,1,0
12,7,3,95,4753,1500,Less than 1 Mile,Less than 5,More than 750,0,1,0,1,1,1,0
12,8,1,96,7763,2000,About 3 miles,10/2.5,More than 750,1,1,1,1,1,0,1
12,8,2,96,6869,2000,Less than 1 Mile,10/2.5,More than 750,0,0,1,0,1,0,1
12,8,3,96,9926,2000,More than 5 mils,10/2.5,600,0,1,0,1,1,1,1
13,1,1,97,2174,2000,About 3 miles,10/2.5,More than 750,0,1,0,1,1,0,0
13,1,2,97,9459,2500,More than 5 mils,Less than 5,More than 750,0,0,1,0,1,1,1
13,1,3,97,2562,2500,About 3 miles,15/5,600,1,1,1,1,1,0,0
13,2,1,98,4885,1500,More than 5 mils,15/5,500,0,0,1,1,1,1,0
13,2,2,98,5617,1500,Less than 1 Mile,Less than 5,600,1,0,1,0,0,0,1
13,2,3,98,5634,2500,More than 5 mils,10/2.5,600,1,0,1,0,0,0,1
13,3,1,99,6968,2000,Less than 1 Mile,Less than 5,500,0,1,1,0,1,0,1
13,3,2,99,4743,2500,More than 5 mils,10/2.5,600,0,1,0,1,1,1,0
13,3,3,99,4055,2000,About 3 miles,Less than 5,500,0,1,0,0,1,1,0
13,4,1,100,8546,2000,About 3 miles,10/2.5,600,1,0,0,1,0,1,1
13,4,2,100,9579,2500,Less than 1 Mile,15/5,500,0,1,1,0,1,1,1
13,4,3,100,6825,2500,Less than 1 Mile,15/5,500,0,0,1,0,1,0,1
13,5,1,101,2700,2500,More than 5 mils,15/5,500,1,0,0,0,0,1,0
13,5,2,101,894,2500,Less than 1 Mile,Less than 5,500,1,1,0,1,0,0,0
13,5,3,101,1575,2500,More than 5 mils,Less than 5,600,1,1,0,0,1,0,0
13,6,1,102,6828,2500,About 3 miles,15/5,500,0,0,1,0,1,0,1
13,6,2,102,4123,1500,Less than 1 Mile,15/5,More than 750,0,1,0,0,1,1,0
13,6,3,102,5769,2500,More than 5 mils,10/2.5,500,1,1,1,0,0,0,1
13,7,1,103,1192,1500,About 3 miles,Less than 5,More than 750,0,1,1,1,0,0,0
13,7,2,103,3973,1500,About 3 miles,Less than 5,500,1,0,0,0,1,1,0
13,7,3,103,1336,1500,About 3 miles,10/2.5,600,0,0,0,0,1,0,0
13,8,1,104,7164,2500,More than 5 mils,Less than 5,600,0,0,0,1,1,0,1
13,8,2,104,2709,2500,More than 5 mils,Less than 5,600,1,0,0,0,0,1,0
